Date,trading_days,UPPER_BAND,LOWER_BAND,Asset_price,Cost_Basis,Stocks,BUY_Signal,SELL_Signal,starting_cash,ending_cash
2010-07-28,143,9.54922797024307,8.710372029756929,9.32,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-29,144,9.562117319094307,8.745082680905695,9.218,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-30,145,9.555549304538156,8.804250695461844,9.188,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-02,146,9.492877748473003,8.983122251527,9.352,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-03,147,9.472117501189421,9.07568249881058,9.355,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-04,148,9.46147405297697,9.14872594702303,9.392,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-05,149,9.467878830893245,9.161321169106756,9.346,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-06,150,9.467967262682366,9.162232737317632,9.289,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-09,151,9.47274876739683,9.17505123260317,9.348,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-10,152,9.439114853319175,9.175485146680828,9.265,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-08-11,153,9.53772179780251,8.999878202197491,8.935,8.93631231339713,209.0,True,False,8132.310726499999,8132.310726499999
2010-08-12,154,9.566813546255588,8.925786453744411,8.993,8.95517485,300.0,False,False,8132.310726499999,7313.447544999999
2010-08-13,155,9.606928965345345,8.827271034654656,8.896,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-16,156,9.607069075341927,8.725530924658072,8.844,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-17,157,9.561116903839881,8.700283096160117,8.999,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-18,158,9.486660078586345,8.703939921413651,9.038,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-19,159,9.414148411650787,8.692051588349214,8.924,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-20,160,9.344119356724516,8.687480643275482,8.916,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-23,161,9.222108324758588,8.695691675241411,8.779,8.95517485,300.0,False,False,7313.447544999999,7313.447544999999
2010-08-24,162,9.160724309072632,8.617875690927368,8.569,8.95517485,300.0,True,False,7313.447544999999,7313.447544999999
2010-08-25,163,9.16354885974434,8.563051140255658,8.675,8.894496474025974,385.0,False,False,7313.447544999999,6575.618857499999
2010-08-26,164,9.154587526917261,8.48961247308274,8.581,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-08-27,165,9.144003818427485,8.446796181572516,8.629,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-08-30,166,9.133491108506123,8.420708891493879,8.661,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-08-31,167,9.06894865682511,8.42185134317489,8.682,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-09-01,168,9.023760757602806,8.447439242397197,8.94,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-09-02,169,9.059170399512839,8.428429600487158,9.006,8.894496474025974,385.0,False,False,6575.618857499999,6575.618857499999
2010-09-03,170,9.214428106657806,8.338371893342192,9.242,8.894496474025974,385.0,False,True,6575.618857499999,6575.618857499999
2010-09-07,171,9.335513607810652,8.303086392189348,9.208,0.0,0.0,False,False,6575.618857499999,10118.541317499998
2010-09-08,172,9.495899378562425,8.306900621437572,9.39,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-09,173,9.618298062573544,8.328501937426456,9.395,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-10,174,9.68935153857777,8.422848461422232,9.408,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-13,175,9.768250107069724,8.525549892930277,9.537,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-14,176,9.808435662784355,8.667964337215647,9.574,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-15,177,9.805928536848725,8.864271463151276,9.651,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-16,178,9.922553694782236,8.935046305217762,9.877,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-17,179,9.96681810432995,9.056581895670048,9.835,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-20,180,10.149178960783571,9.04882103921643,10.115,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-21,181,10.2611246999287,9.122275300071301,10.135,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-22,182,10.413707508245402,9.147092491754599,10.277000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-23,183,10.525522707842569,9.220077292157434,10.319,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-24,184,10.628441568264929,9.323558431735073,10.44,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-27,185,10.683912187788245,9.440487812211757,10.399000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-28,186,10.654122128598505,9.604477871401496,10.245000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-29,187,10.596776588873476,9.784223411126527,10.263,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-09-30,188,10.562412266295308,9.869987733704694,10.134,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-01,189,10.485559795784381,9.997840204215619,10.09,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-04,190,10.523118811434811,9.927481188565187,9.951,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-05,191,10.53945222362271,9.94794777637729,10.319,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-06,192,10.548832294558066,9.948767705441936,10.328,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-07,193,10.55093680907152,9.948663190928478,10.329,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-08,194,10.576473261148431,9.935526738851566,10.502,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-11,195,10.632621041669008,9.909378958330993,10.549,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-12,196,10.749378422233622,9.87602157776638,10.662,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-13,197,10.862003660675379,9.85459633932462,10.719,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-14,198,10.969904970737579,9.87929502926242,10.797,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-15,199,11.236079877174328,9.843320122825672,11.241,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-18,200,11.415102800454349,9.945497199545649,11.357000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-19,201,11.474608716674847,10.03279128332515,11.053,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-20,202,11.510801004388874,10.148998995611127,11.09,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-21,203,11.494914941208705,10.309885058791295,11.054,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-22,204,11.47218977124804,10.428410228751957,10.981,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-25,205,11.438099089024401,10.558700910975599,11.03,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-26,206,11.403759304896663,10.661040695103335,11.002,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-27,207,11.36247039584937,10.757329604150632,10.994,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-28,208,11.337828690050245,10.802771309949755,10.901,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-10-29,209,11.327277072949625,10.714922927050376,10.749,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-01,210,11.18100123220372,10.762598767796277,10.864,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-02,211,11.179925404793861,10.762874595206137,11.049,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-03,212,11.213265789722199,10.745734210277798,11.171,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-04,213,11.349269496409944,10.672330503590059,11.367,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-05,214,11.436494239903062,10.65410576009694,11.326,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-08,215,11.524054630857147,10.636345369142855,11.379,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-09,216,11.56716285518733,10.65063714481267,11.289,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-10,217,11.620512280050834,10.670087719949167,11.358,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-11,218,11.637556359401929,10.73464364059807,11.309000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-12,219,11.573658999397619,10.84894100060238,11.001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-15,220,11.543954820263414,10.899045179736584,10.966000000000001,0.0,0.0,False,False,10118.541317499998,10118.541317499998
2010-11-16,221,11.615028111781989,10.772371888218007,10.771,0.0,0.0,True,False,10118.541317499998,10118.541317499998
2010-11-17,222,11.663087270660615,10.636512729339387,10.732000000000001,10.738366000000001,93.0,False,False,10118.541317499998,9119.873279499996
2010-11-18,223,11.609641367519478,10.619558632480521,11.015,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-19,224,11.557507638828106,10.597492361171895,10.955,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-22,225,11.49933696319457,10.61806303680543,11.191,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-23,226,11.442265235304374,10.622534764695624,11.026,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-24,227,11.395060334022133,10.646739665977865,11.243,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-26,228,11.370357722740213,10.659642277259785,11.25,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-29,229,11.449451171857136,10.643748828142867,11.317,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-11-30,230,11.461800853099382,10.660799146900617,11.113,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-01,231,11.482753689741703,10.745646310258298,11.3,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-02,232,11.461420553443231,10.893179446556767,11.363,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-03,233,11.484716682310909,10.934283317689095,11.337,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-06,234,11.500628653282828,11.014171346717173,11.434000000000001,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-07,235,11.521783220302737,11.027816779697261,11.365,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-08,236,11.521189066920222,11.116210933079778,11.465,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-09,237,11.540417864141572,11.13238213585843,11.42,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-10,238,11.561678891049906,11.150921108950095,11.449,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-13,239,11.59226819981187,11.15453180018813,11.488,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-14,240,11.528292908852295,11.283707091147706,11.439,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-15,241,11.518194965325558,11.322005034674442,11.441,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-16,242,11.525331157857213,11.336868842142785,11.473,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-17,243,11.5097445535206,11.375055446479402,11.450000000000001,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-20,244,11.527942074501013,11.371457925498987,11.507,10.738366000000001,93.0,False,False,9119.873279499996,9119.873279499996
2010-12-21,245,11.562360067937737,11.379839932062266,11.579,10.738366000000001,93.0,False,True,9119.873279499996,9119.873279499996
2010-12-22,246,11.61352253371216,11.358277466287841,11.613,0.0,0.0,False,False,9119.873279499996,10199.249274999995
2010-12-23,247,11.625178483648893,11.374021516351105,11.557,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2010-12-27,248,11.647723469532998,11.380876530467006,11.596,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2010-12-28,249,11.676294219713721,11.379505780286276,11.624,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2010-12-29,250,11.689648067997686,11.401951932002314,11.618,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2010-12-30,251,11.681169863280296,11.434030136719702,11.559000000000001,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2010-12-31,252,11.674633036597037,11.44996696340296,11.52,0.0,0.0,False,False,10199.249274999995,10199.249274999995
